text,rate
"









  
  
    
  My kids are all in elementary school. I used to purchase Ticonderoga #2 pencils for them. But they always go through the pencils like eating them, so I want to try some other brand which is cheaper and durable. I choose Amazon one, which is not disappointed me. They have good writing ability and are sharpen well. They sharpen quite as smoothly as in the electric sharpener. The only concern is eraser. Some erasers loose and break easily, which make it not erase completely. My kids used the eraser on different types of paper and it did not erase well. I hope this review can help others to find a good product.

  
",4.0 out of 5 stars
"









  
  
    
  These pre-sharpened pencils were gifts for my children's teachers as well as a box for my own classroom. They are not quite as good as those expensive ones, but they are presharpened and fairly durable. The only real complaint is that they tend not to sharpen straight, so you get a weird sharp point on only half of one side occasionally.

  
",4.0 out of 5 stars
"









  
  
    
  9 out of 10 pencils have broken leads. I mean, the lead inside the wood is broken into pieces! I'll never buy again and definitely don't recommend to anyone!

  
",1.0 out of 5 stars
"









  
  
    
  VERY GOOD value for the money.  Its wonderful to have pencil sharpened to start.  After using 5 of the pencils the lead breaks inside the wood and you loose 1/2 inch to resharpen it

  
",3.0 out of 5 stars
"









  
  
    
  Wonderful pencils out of the box but I cannot get them to sharpen after trying with multiple pencils and multiple sharpeners.

  
",1.0 out of 5 stars
"









  
  
    
  Unfortunately, these pencils did not hold up in my classroom. On the first day, my students would come to me with the lead immediately breaking. The eraser part doesn't not hold up well. The deal was too good to be true. Currently ordering a pack of Ticonderoga pencils for my classroom.

  
",1.0 out of 5 stars
"









  
  
    
  This review is for the AmazonBasics Pre-sharpened Wood Cased #2 HB Pencils, 150 Pack.Last year's pack included a gross of pencils, so they have added six more since last year.  They are all pre-sharpened, so you don't lose any bit of the pencil when you start using them.The price is so much better than anyone else.  If you need a bunch of pencils, I highly recommend these.

  
",5.0 out of 5 stars
"









  
  
    
  This pencil isn't dark enough even though its a #2. I bought Ticonderoga pencils which has a softer and darker lead and is  much easier to read.

  
",1.0 out of 5 stars
"









  
  
    
  These are some of the worst pencils I’ve ever seen. I would not recommend them! I bought them because of kids staying home and doing school. They are a waste of money when it comes to durability. The erasers come off so easily and it takes forever to sharpen. The lead just kept breaking off. Not a safe or friendly pencil.

  
",2.0 out of 5 stars
"









  
  
    
  At first, I thought these were fantastic and then we tried sharpening them and I ended up with stubs. My kindergarten students will use a box of pencils in one month. It was painful to throw away all these  pencils just because the lead needed sharpening.

  
",1.0 out of 5 stars
"









  
  
    
  The pencils break easily and are very cheaply made. You may as well buy pencils from the Dollar Tree, they work just as good. They came barely sharpened as well so it wasn't worth paying extra to get the pre-sharpened box. I had many lose erasers while being used too in my class. I usually love Amazon Basic products but was very unhappy with this order. I'll stick to my big boxes of unsharpened Ticonderoga pencils from Costco. Signed, a disappointed teacher.

  
",1.0 out of 5 stars
"









  
  
    
  My granddaughter’s first grade teacher asked each student to bring 48 pencils as student supplies. Evidentially now students are being asked to make up for their classmates poverty as excessive amounts of crayons were also on the list.  I just donated the whole box.  These are good pencils that do not make pencil sharpening a frustrating event for little children. As a former educator I was shocked by a school supply list that could add up to more than $70.00

  
",5.0 out of 5 stars
"









  
  
    
  They seem to be a bit on the light side but overall they are very decent pencils, with a good electronic sharpener they keep the led 90% of the time unlike lower quality pencils that have the led fall out half of the time you sharpen them. Overall they are a good value and get the job done.

  
",4.0 out of 5 stars
"









  
  
    
  Small and largely without any supplies whatsoever, I wanted to ship something quickly and inexpensively as I could.  This filled the bill perfectly.  I test sharpened two and they work fine.  They are all pre-sharpened btw.  Quick delivery, decent price.  Well satisfied with this purchase.

  
",4.0 out of 5 stars
"









  
  
    
  It's a small box of sharpened pencils. You can do just as well at The Dollar Store

  
",1.0 out of 5 stars
"









  
  
    
  Awesome pencils! All sharpened perfectly. I keep these in my classroom for students when they need a writing utensil. These are a great price and they write smoothly and consistently. Sharpen in electric sharpener perfectly.

  
",5.0 out of 5 stars
"









  
  
    
  Awesome pencils!! Purchased this package to have enough pencils for my 3rd and 1st graders ( one in each grade). I purchased due to the price AND because we’ve been BEYOND impressed with the Amazon Basics brand.They did NOT disappoint. The pencils write great, sharpen smoothly and easily, and the lead holds up.We’ll definitely be back for more (when we run out of pencils in 10 years, lol).Give them a try. You won’t regret saving tons of money and getting a superior product!!Thanks Amazon Basics!!

  
",5.0 out of 5 stars
"









  
  
    
  I have an expensive electirc sharpner and these pencils do not sharpen evenly and break easily. Don't waste your money. I now have a lot of worthless pencils.

  
",1.0 out of 5 stars
"









  
  
    
  I was surprised when I received these pencils in such a good condition. I assumed with all the jostling around by being carried and delivered, that most pencils would not be sharp anymore when they arrived. I bought these pencils to take the Bar with, and I was able to receive them and just throw them in my suitcase to pack without any sharpening needed. They were super durable, and they wrote really well.

  
",5.0 out of 5 stars
"









  
  
    
  The box is big, but many of the pencils have loose leads... shake them, and you can hear the lead bouncing around, so when you try to sharpen them, they fail.  I would like to think there is a better quality brand out there somewhere, but I don't know which it is... buyer beware.

  
",3.0 out of 5 stars
"









  
  
    
  So far so good, sharpens well.  Dont you hate it when a wooden pencil shreds and the lead snaps off?  These don't.

  
",5.0 out of 5 stars
"









  
  
    
  i would give this item zero star but i have no choice of zero. this pencils breaks every single time you try to sharper them. did not last i had to returned them.

  
",1.0 out of 5 stars
"









  
  
    
  I would give it no stars, but the minimum is 1 star. I purchased these pencils to have on hand for my middle school students. They are such low quality, I was surprised since it is an AmazonBasics product. The lead separates from the wood, so they are useless after the first sharpening attempt. A complete waste of money.

  
",1.0 out of 5 stars
"









  
  
    
  Best value for school supply money and no sharpening pencils the night before school starts or when pencils are needed for homework

  
",5.0 out of 5 stars
"









  
  
    
  These pencils are falling apart. I thought the kids were destroying them. But that’s not the case. The metal crimp that holds the eraser falls off. Some of the pencils can’t be sharpened because the lead keeps breaking. Not a good option for the classroom.

  
",1.0 out of 5 stars
"









  
  
    
  This was such a great classroom gift!  My 4th grader gave them to his teacher just before Christmas and at conferences, she was so proud of how m as my were left.  Something about kids and losing pencils.  There are enough to ensure a class of 22 kids can get through at least 4 months.

  
",5.0 out of 5 stars
